% Generated on Thursday, 14. May 2015 05:34PM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"basically this game was released back in the year 2000 and still is one of the most played games on steam. so clearly it must be good because so many are still playing it. i definitely recommend this game and if you dont like to shoot terrorist or counter terrorists you can always try different game modes like zombie modes. 10/10",80.9
"best classic game that ive been playing for years, if it wasnt for cal falling apart, the release of other verisons of counter-strike such as condition zero, source, and global offense. i would still be playing competitivly",1204.2
"its counter-strike you point gun and shoot terrorists (or counter-terrorists if you prefer the ak) just dont cross the streams",10.9
"i dont care what anyone else says, but cs 1.6 is the #1 fps and it will never die. :)",572.6
"blame this game for the rise of the online multiplayer modern military shooter. good game, great custom maps, terrible community. not much has really changed since 2000, has it? i dont think anyone still plays this particular version of cs though. edit: wait, there are over 8,000 people in-game right now. wow... guess i have to give this a yes then because it isnt dead.",153.7
"standard run and gun game that says it tries to stop cheaters and hackers out of the game, instead all it does is ban people who are having internet trouble trying to blame them for lag switching. it does not hitting those who you can obviously watch and see they are using aim bots by spectating after death and always aiming at people through walls at their heads ready to shoot the moment they turn corners.",0.6
"it is a very good, classic game, which started the multiplayer shooter game series of counter strike.",622.0
"if you cant get counter-strike: global offensive, this is great replacement for it. its not as popular, but it still has a big amount of players. some servers may be in languages you cant understand, but the game is still very fun and requires a great amount of skill. one of the best first person shooters, that still holds to this day from 1999. although the games graphics...arent really the best. even then, you can get skins, map textures, etc. to spice the graphics up a little bit. though to me, graphics dont really matter. highly recommend this game. 9.5/10",11.3
"when youre a counter terrorist you shoot those bad terrorist and stop them from planting evil bombs in america,",39.6
"amazing game . totaly adictive and loads of fun . have been playing from quite long now. never did i get bored of playing counter strike 1.6. :)",2363.4
"so i just played the original counter strike, cs1.6 for about an hour and after over 100 hours of both css and csgo, this game is amazing! but so different! i love this game and its game series! it taught me tactical gameplay and how much communication is key but this game lacks a bit of that but not much. i absolutely love this and highly recommend it!",1.3
"played this game for the first time in 2008. since then i have clocked more than 5000 hours, thats how addictive its multiplayer is. father of all fps in mp. plus has several mods deathmatch, hns, kz, gungame, scrim, zombiemod and paintball. its been 14 years and the game is still going strong atleast in the indian scene.",1941.2
"game which dragged me in gaming, as outdated and old it is, the best memories for me lies within this game. i mainly played because of mods, which were great, like zombie mod, death run and wc3ft mod",1277.4
"the time that your head was the size of a pillow :d",20.5
"i got banned from this game in 2002 by vac just because i logged in from a computer with hacks installed in a lan shop. it has been 11 years since i was banned and i still cant play counterstrike with my account. i am already 25 this year, even prisoners in democratic nations are given 2nd chance but not steam. shameful!",0.4
"one of the best fps games out there, tho the graphics arent as good as the current gen games but this is a worth to try game. playing this game for like 4 years or so absolutely incredible game period.. :)",419.2
"this game is probably the best game ever. even it is old, it is still the best shooter game.",1396.7
"fav game of all time. cs:go is fun but still doesnt feel the same!",204.8
"its the first counter strike game. of course its amazing.",0.6
"cs:go is good. cs is great. i keep on playing, and school i will be late.",4.7
"this is where history was written. the son of the big daddy half-life. since the game was released, even with newer versions like source and go, it is still very popular. example of a masterpiece.",5.3
"a very good game indeed..... proves that graphics dont matter, gameplay does",8.1
"fellas i have long been playing this game and i would recommend to you to try it because it is very intresting game for those who like shooters :)",128.2
"~|^kn!ghtm@re^|~ auto-mix server 103.2.238.234:27015 all the cs fans are welcomed..!",790.5
"un des piliers du jeu vido... one of the pillars of gaming...",923.3
"there is absolutely no need to review this game....!!! brilliant, fantastic..!!! well best online multiplayer game ever...!!!",223.5
"17-04-14 new update. game doesnt even open. error: fatal error- cannot load library. please fix. unbale to open cs 1.6",279.1
"counter-strike is the best first-person online shooting game. because it depends only in your own skills. there are no advantages like in call of duty series, you will need to aim correctly, know the recoil of your gun and shoot your enemies to death.",556.7
"one of the best fps games out there, tho the graphics arent as good as the current gen games but this is a worth to try game. playing this game for like 4 years or so absolutely incredible game period.. :)",419.2
"playing the scrim mode in counter strike is just awesome. 5/5",767.7
"the chat was overfilled with people blaming for hacks. i like it that way.",8.6
"started playing this game when i was 8 years old ( 2002 ). bravo counter-strike!",1621.9
"its the first counter strike game. of course its amazing.",0.6
"cs:go is good. cs is great. i keep on playing, and school i will be late.",4.7
"a very good game indeed..... proves that graphics dont matter, gameplay does",8.1
"heres my story, i went over to my friends house one day, he was playing cs. i tried it for myself, i was instantly hooked and have been for over 10 years with the counter strike franchise. best online action franchise ever for the pc in my opinion. counter strike is like a drug that you will never be cured from, trust me.",0.6
"wow this game is amazing its addicting,oldschool,ragers and more! well this game tough me something... rage and play i mean i play oldschool games and i like them but this one is the best",47.5
"counter-strike(1.0 - 1.6 ) is one of the greatest esport fps games(if not the greatest) in the gaming history and is still worth buying today. graphics doesnt matter for a gamer, gameplay does...",64.6
"this game is a god damn classic. if you dont have it, you arent worth the title of a gamer.",241.9
"this game is awsome and will be for sure in next 50 yrs :)",318.6
"really good game.. its old but it is still good and funny.. mostly i enjoy playing modes like jailbreak/furien mode. i recomend this game.",1577.5
"still the best shooter out there. nothing can beat 1.6. get some mates, play on a well configured server and enjoy this masterpiece.",1244.3
"this is where history was written. the son of the big daddy half-life. since the game was released, even with newer versions like source and go, it is still very popular. example of a masterpiece.",5.3
"this game is a classic master piece. and has amazing replay value. as a young gamer my self growing up in a world where most casual gamers are xbox humping, cod playing, graphic s. it is shameful that this game is not played. this game made and broke friendships and made a childhood for many people. even if you dont play the game often. please just get it for it to be in your library. 8/10 for some bugs and a now strange community. but nonetheless a great game.",45.9
"best game you can get on steam, but it was better on won.",5.3
"the best action game beginning of the 21th century",601.0
"great game!! nice graphics!! online servers are good... sometimes non-steam cheaters appears but if the server has admin, should be fine... nice game for people who got low graphics in the computer",305.6
"best game you can get on steam, but it was better on won.",5.3
"best game ever. i love this game. i am playing for 4 years and now also i am not get bored :d best shooting game ever :d",794.1
"really good game.. its old but it is still good and funny.. mostly i enjoy playing modes like jailbreak/furien mode. i recomend this game.",1577.5
"great game, tho graphics are not nowadays quality because its been made in 1999.",0.4
"im just here to post the 6,666th review for this game... get it.",52.3
"one of the best fps game that is recognized around the world. a must have.",77.4
"old but gold. way better than source and maybe better than cs go too...",82.4
"15 year old game @ $9.99 really how gready can you get valve.",29.7
"i got killed by a team of mexicans, russians, 40 year olds, and one asian. 10/10",20.6
"wow gud gaem shuut tereesits evridey nd dy gud gaem thenx gabe xd",4.6
"one of the best fps game that is recognized around the world. a must have.",77.4
"the greatest multiplayer shooter experience ive had since quake 1. the e-sport scene also helped it alot, its the only computer game ive really followed when it comes to e-sports (back when i followed the cpl etc). the design of the game was simple but very effective and delivered a multiplayer experience that few other games can match. the call of duty and battlefield titles, although good in their own right, never drew me in like counter-strike.",477.4
"the greatest multiplayer shooter experience ive had since quake 1. the e-sport scene also helped it alot, its the only computer game ive really followed when it comes to e-sports (back when i followed the cpl etc). the design of the game was simple but very effective and delivered a multiplayer experience that few other games can match. the call of duty and battlefield titles, although good in their own right, never drew me in like counter-strike.",477.4
"this is my all time favourite game. it is one of the first game i played. this game has been with me until now and i am still playing it with a big joy. it may be old but there is no other game that can replace it in my life.",18.0
"i love this game! just chill out with friends but still an awesome fps game.",626.5
"one of the best shooter games ever ! you must buy it !",461.5
"you have this game to thank for modes like call of dutys search and destroy. cs is arguably the most widely-played online shooter of all time, and its still got a thriving community going on 12 years later. its got simple, easy-to-pick-up gameplay thats spawned a massive competitive community. unfortunately, its extremely stale thanks to the fact that there are 3 game modes. luckily, there are tons of customization options available online. still, worth checking out for the sake of history.",0.3
"this game ruined my life. its an awesome title! i never knew a game 14 years old would be so good and still, its active in the community! thats really nice! this game is a huge hit in the market and still there are lots of buyers. it is a little thought for a guy like me who just plays non fps games. but still, it is really interesting and amazing to play with friends and online too!",7.5
"i remember being a younger kid, i had a brother take me out and walk for about 30 minutes to a gaming cafe where they have this game being played 90% of all computers. playing this for the first time as a kid, i felt it was so realistic lol. it was like being in a new world, basically. we came back to gaming cafe every once a while whenever we can afford it. one time, my dad came home early and we were not home, lol. somehow, he figured out where we were at! good times good times! this is one of few games that made my childhood memories.",0.5
"as a cs fan i do like tis game. but i dont have that madness it to the game as many other do. that could be because i grew up with cs:s. so i feel like you guys do, just not to the same game. but i mean this game was the start of the cs history so this game needs love! :3",280.3
"cs.16 its a good strategy onling game and i suggest you to buy it ! beacause cs.16 have a lot of skills and mods too,like (deathrun,jailbreak)etc.!!!!!!!!!!! maybe have not good graphics cause cs1.6 since 1999 but its the most popular game in the world..! so thank you to read my review!",294.2
"oh counter-strike... if you dont have this game then where have you been the last 15 years -_- (also its my personal favorite fps)",49.3
"its cs1.6 and your on steam, if you dont have this then please follow these steps: 1. uninstall steam. 2. kill yourself.",78.9
"i played this game at school and the teacher game me an a",10.4
"endless fun i could end up with over 1000000 hours on this game xd. everyone sucks at first because with this game its all about practice and trying things out, seeing what weapons you are good with etc etc. anyone can be good at this game its all about how much time you put into it as long as you have some very basic fps know-how you could master it for sure.",24.5
"the most repetitive and yet the most addictive game i ever played. its a must have! :)",4.8
"one does not simply waste 600+ hours on this game.be sure to buy/play it.besides its classic game.",677.0
"counter-strike is #1 game is world))))))))))))))))))))",977.0
"if you didnt play this but play cs:go, you probably like to pretend you did.",22.8
"truely a game which signifies the value of old is gold.... this shows that graphics doesnt matter but gameplay does.... the parent of first person shooting multiplayer... even though its been more than a decade since its release but its still one of the most favoured online games in the world. a must play for any die-hard first person shooter lover.",83.3
"counter strike was the first fps game i fell in love with. game play is superb.",474.6
"best first person shooter to ever surface on to a pc or console. counter strike 1.6 is an old game but still very popular amongst pc gamers everywhere in the world. there are many clans and communities that still support this game, so its not hard to find a group of friends that enjoy playing. you can find various moded servers that include warcarft 3, call of duty moder warfare 3, zombies, american football, prop hunt, paint ball and many more!",935.9
"this is one of the best first person shooters ever created because of its tactical team-based gameplay and a feel that old-school fps will love.",10.9
"awesome game. first fps i ever got good at and still to this day i can load it up and have fun playing this game. this game has a lot of history behind it and it probably the foundation for a lot of the new fps most notably cod(call of duty). thanks to this game i learned how to play an fps properly and will alway enjoy playing this game no matter how old it is!",13.3
"one of the best games, not to even mention first person shooter games, of all time. after 16 years or so since its release its still got an avid active following. speaks volumes for its addictiveness and replayability.",268.0
"after all these years this shooter remains to be a classic that cant be ignored. this game was a major turning point in the history of fps, and this game is what made online multiplayer competitive gaming so popular.",546.2
"the best shooter,period.no game will ever come close to this one.love it!",1421.0
"this is the original counter-strike that continued into a wonderul series of games. i played this every chance i could get while in high school before steam was ever around. check it out to see how it all started!",0.1
"revolutionary new game for 2012, better graphics than cod",0.6
"one of the best online games since last 13 years i guess or 10 i have been playing it for now for past 2 years continuously",13.4
"counter-strike(1.0 - 1.6 not source) is one of the greatest esport fps games(if not the greatest) in the gaming history and is still worth buying today. graphics doesnt matter for a good gamer, gameplay does...:d",1039.7
"best ever shooting game played in my life i <3 with this game.....",1016.7
"counter strike is game where i can learn only one thing that if u have a good aim on the head of ur enemy than u can kill them whatever u have latency but not more than 150 :d",320.5
"the original fps shooter game. you should also look into counter-strike: source if you like a more modern version.",2.3
"must buy, if u havent played cs, den u have played nothing (y)",965.8
"although a bit old, this game requires a lot of skill and strategy. once you learn how to play it youll get to enjoy it.",460.5
"really nice game! a must buy! its has to feature in your library surely!",5.0
"counter-strike is a first-person shooter in which players join either the terrorist team, the counter-terrorist team, or become spectators. each team attempts to complete their mission objective and/or eliminate the opposing team. each round starts with the two teams spawning simultaneously.",162.4
"i spent 1200 hours on testing plugins i made. 10/10",1769.2
"not really know what to say...but still the best online fps game :d",1651.3
"very nice game! if you wanna be good cs:go players you must start from this game!",14.9
"very nice game. most addicted multiplayer game of all time!!",3.3
"guwno bo nie da sie celowa!!!!!1 a w snajperce nie ma celownika eng its creyp cos u cant ads!!!!!! and thers no crosshair on snipr rifel! 9/10",35.2
"i grew up with this game,best children memories , new friend , adventures. this game will stay on my heart.",90.9
"this is an old game. but its good and have some multimod servers and its funny game and i also play it , any 1 rich in steam can buy this game soo easly because its cheap",986.4
"i like this game very much because it sounds good to play and helps us in making a duel in any other game which belongs to fighting/action",206.4
"so much fun to play the origional to the game i like",25.9
"when it boils down to competitive long lasting first person shooters, counterstrike 1.6 is king. the unique money system on a two team map design is what puts counterstrike apart from other run and gun fpss. many custom maps and mods are available, while still boasting a steady player base even 15 years after release.",1359.5
"best competitive fps ever. still fun to play even now with multiple other versions of cs out.",64.3
"thank goodness this game came out before steam did. the number of hours i spent playing this during high school would make me cringe. great classic.",0.9
"this game is old as , but its better than cs:s but csgo.",1.2
"awesome game! never had so much fun with any other game!",112.0
"old school game )) i really used to liked it but now i prefer counter strike global offensive",10.9
"most awesome game ever. i play it since betas in 1999. keep on rockin!",253.6
"the best competitive multiplayer fps experience for low end computers. even an old laptop can run this probably. bit of a learning curve with weapons. condition zero expansion has half-life style campaign though not as groundbreaking, but also additional mp maps and a singleplayer bot mode that is goal oriented and challenging.",173.5
"this is one of the best acion games i have ever seen til date and is famous than any other game . you ll be a good gamer if get this one.",825.1
"one of the best multiplayer-shooter ever! a real must have! unforntunately 90% of players are cheating :(",761.0
"great game, still many people play it and is very good. 8.5/10",15.3
"best game ever !!!! cs 1.6 > all other cs`s !!!!!!!!!!!!!",433.7
"i like this game, because u can do everything in this game.",141.1
"even though it has the worst graphics, its still very strategic and fun!",38.0
"we will never forget about 1.6 , at its time this game was not only a game , it was a sport , a purpose , a way of living , ive been playing this since the beginning(back in 1999 or 2000 cant remember for sure :d) and i dont know what the world of gaming would have been today without it , so counter strike will always remain the king :d",2007.9
"its not just a simple game! - this awesome game will never die  - cs 1.6 forever in our hearts! - cs 1.6 please stay alive! players united!  sea of emotions.. thx you, counter-strike 1.6. forever in my heart!",388.7
"counter strike is the most popular fps game we played in windows pc.",0.4
"all good old counter-strike. still better than beta cs1.0, 1.1 and 1.5 with a few new standards and fixes, but now is a new age with a cs:go, cuz cs 2.0 we wont see soon enough. :)",1124.9
"fun, classic, well executed even though its old! definite recommend!",38.6
"awesome game truly an nyc game with tactics, guns, different maps, etc",910.2
"somehow i still find myself coming back to this game...damnit.",2012.1
"an old cs 1.6 game that almost every gamer played.",1442.8
"is an excelent game very addictive and entertaining!",142.5
"dis is an excellent game mindblowing cant leave without dis game",737.9
"that game is suck amazing. its.. counter strike, thats all i gotta say :)",1581.8
"epic and old-school shooter , the best in my opinion.",415.4
"my computer is real slow so this game is great for me. im recently no longer a n00b nor an ultra-blocking . i still suck tho. gun game or nothing!",126.6
"this game is good man. if you are going to cry about ranks, then this game isnt for you. enjoy the game, its good.",1111.4
"klubpenguin1234abc: put the awp down you nuuub u suck uninstall the game trolliee341: i can keep this awp you 2 year old. klubpenguin1234abc: i will hack your webkinz account!!!!!",11.9
"counter strike game 1.6 is a great game played by the company when the valve had the idea of launching on steam platform is one of my favorite games. note: the game deserves note 10, the structure and gameplay. features: a great game played in recent years by many players",728.6
"some games dont need reviews.... beta 7: august 26, 2000 ... version 1.6: september 9, 2003 ... 11 years later... 01/2014 - concurrent steam users: current: 7,652,718 peak: 7,652,718 cs steam only: 87,100 87,100 counter-strike: global offensive 32,601 32,724 counter-strike: source 41,300 41,577 counter-strike",0.3
"you can shoot people with guns and knifes and grenades and shields, but no flamethrowers.",7.2
"this game can show this think: a good game dont need good graphics",574.2
"this game is a proof that games do not need to have good graphics for it to be fun & addictive. its one of the games which gives you the oppurtunity to go online & have fun with your friends :d",2182.4
"one of the best online games since last 13 years i guess or 10 i have been playing it for now for past 2 years continuously",13.4
"they should make a counter strike remake of deleyed scenes and the old school one .",121.0
"really, this game requires skill. not for the casual gamer.",3.0
"this a good game i like the maps and the community in the game",79.0
"whether you are a hardcore pc gamer, or if you have just bought your first pc, counter-strike 1.6 should be the first game you buy. graphics dont matter, this game can produce hours uopn hours of entertainment. 10/10 highly recommended.",2.0
"a great fps game that doesnt need much requirements .",109.8
"i buy the awp and i win. i recommend this game whole heartedly. 10/10",110.6
"this game has been around for a long time it has never gotten old for me if your looking for a game you can just keep playing and keep from getting bored this game is for you ^_^",67.1
"cool game make fun to play with friends you should try it !",546.2
"what a nice game,real oldschool,beats newest games,these kills and stuff gets people crazy.clan wars is just wonderful in here,but the game has few bugs,with which i am ok with.",126.0
"its a classic, simple is that. highly recommened for people who like fps",0.1
"awesome game before the update, it will remain one of the best games ive played. all the memories ive had with this game wont leave me thats for sure.",2455.4
"probably my most favorite game ever. the original is still so amazing, great servers, mods and tons of activity still!",950.2
"awesome game for years and years and still years to come.",2034.8
"best game i ever played. put so many hours in to this. the clan games climbing the ranks. ah the memories!",1.1
"in my opinion, cs is the single greatest first-person shooter ever created. complex, addictive, challenging, intense, precise, and infinitely replayable, cs was the defining game for an entire generation of gamers. but be warned, this game is absolutely brutal if you are new to shooters.",606.9
"if you liked one point six of counter-strike you might have enjoyed coldplay. also, youre a ing hipster who needs to get off the gameboy and ing play a game that isnt older then my mother. bbqhtc - my mother is a saint...",10.1
"best fps game youll find. its a must buy. you learn new skills, step up your game, meet new friends and have fun.",1255.8
"timeless classic! counter-strike(1.6)is one of the greatest esport fps games(if not the greatest) in the gaming history and is still worth buying today. graphics doesnt matter for a good gamer, gameplay does...",430.4
"best childhood steam game, landed me a $1000 internet bill, mods up the  ing amazing.. still one of the best counterstikes had fights with family just to play! ing 10/10",30.9
"incredible action/shooting game, buy now on steam with amazing hd quality!",139.9
"that game is perfect, graphics doesnt matter in this game. gameplay is awsome.",52.0
"best fps game ive ever played. highly addictive..",239.9
"the best one of them... still the best one simple and with the right people very fun as well",2348.2
"probably my favorite fps of all time, been playing since the m4 had a scope.",2.5
"so many girlfriends lost cause of this (back in the good old days...) + everything on this game is abso-f*cking-lutely great - well maybe a bunch of players behave like 8-years old spoiled kids sometimes...but killing them (in game, dont get me wrong) is the purest satisfaction",938.8
"no doubt this is one of the best cyber games.. come what may this game will never die, let the developers make revisions or better versions.. cs 1.6 stays forever!",2489.4
"best ever shooting game played in my life i <3 with this game.....",1016.7
"i used to play this game with my friends when we had to do military service; it was a lot of fun pretending that we were fighting russians while putting to use what we would learn during training. however, it seems that the only people who play now are turkish children who hack and have bad ping so, i would not recommend this game any more.",131.9
"this has always been my favorite and a classic to my collection. no matter what, i will always have this game.",0.5
"if you didnt play that game, you dont know what is true meaning of fps.",178.0
"this is a goooo0oooood game only expert man can plzy this",247.8
"that is an awsome game, i have played it for five years and i enjoyed every moment!!! highly recommended.",2177.8
"probably my favorite to play . yes we get lots of hacks but... its too much fun to play . cs ftw.",2312.9
"ive been playing this game for almost 9 years and i recommend this game to everyone. there is alot of differnt things you can do on this game. you can surf,climb,hide,dance or you can play regular for fun or even try to get extremely good at the game and their is tournaments you can join for huge prizes",805.3
"oh, you are a bloody hacker and i cannot shoot you through your heart. 10/10",102.1
"this game is fun. it have got bad graphic but that is ok . i recommend it.",1.8
"11 gabe newells out of 10 gabe newlls would buy sequel",92.2
"there nothing but to say, its counter strike 1.6 best mlg game that ever lived! jk its not the most, but you know its really good! 8/8",7.8
"a game which will never bore anyone.. i never tire of playing this game..been 8 years and still counting..life as a cs player rocks..",568.4
"the original fps shooter game. you should also look into counter-strike: source if you like a more modern version.",2.3
"must buy, if u havent played cs, den u have played nothing (y)",965.8
"although a bit old, this game requires a lot of skill and strategy. once you learn how to play it youll get to enjoy it.",460.5
"cradle of all fps multiplayer games for sure!!! played approximately 8 years, spent over 10 000 hours (non steam) during my lifetime, & worth every single minute of playgame !!!! shame, nowadays there arent many good players, so kinda makes it boring !",205.8
"if you liked one point six of counter-strike you might have enjoyed coldplay. also, youre a ing hipster who needs to get off the gameboy and ing play a game that isnt older then my mother. bbqhtc - my mother is a saint...",10.1
"best fps game youll find. its a must buy. you learn new skills, step up your game, meet new friends and have fun.",1255.8
"this game makes cod,crossfire,battlefield,and etc look like trash",659.2
"one of the most played steam games, even now it still is. great game to pick up if you own csgo, to see where it all started.",3.6
"really, this game requires skill. not for the casual gamer.",3.0
"great fps for someone who is just looking for some fighting action. graphics are still great for such an old game and servers still get filled!",412.2
"old classic - if you starting with counter-strike adventure, start with 1.6 - its a good start from zero to hero!",769.8
"no final killcam, killstreaks or akimbo weapons. the auto-sniper is great though, so i give it 10/10 //faze pamaj",1477.1
"this is one of those game that will never be bored ... :)",178.4
"a great fps its a classic, valve makes great games and this is one of their finest works",52.2
"best classical first-person shooter game of all time.",433.4
"best shooter of all times!! been playing it since v. 1.4",118.5
"this game is for gamers who take this seriously. :d",2421.9
"this game is a classic and will never die in my mind. i have not purchased the new global offensive yet because i am still stuck reliving my glory days on this wonderfully made fps. happy hunting!",228.1
"no doubt this is one of the best cyber games.. come what may this game will never die, let the developers make revisions or better versions.. cs 1.6 stays forever!",2489.4
"this game is a huge reminder of why pc gaming is a beautiful thing.",112.7
"best mulitplayer game ever made still god of multiplayer game",832.9
"for lose time, its a really nice and exciting game :d",168.2
"i like this game, because u can do everything in this game.",141.1
"even though it has the worst graphics, its still very strategic and fun!",38.0
"we will never forget about 1.6 , at its time this game was not only a game , it was a sport , a purpose , a way of living , ive been playing this since the beginning(back in 1999 or 2000 cant remember for sure :d) and i dont know what the world of gaming would have been today without it , so counter strike will always remain the king :d",2007.9
"please help me i failed when i was making my graphics in my counter strike 1.6 i cany see anything and i cant make it right i reinstalled it again but it didint work so please gove me choise i had such fail at past and when i changed windoows afterwards there wasnt such problem so please give me choise about it :)",20.2
"this is the game that started a genre, every shooter since cs has copied its competitive team-based style of play. its the original to a legacy, and many people still play it to this day. it has older graphics for people who might not have an expensive computer, plenty of dedicated servers, and the core gameplay that is known worldwide is right here where it belongs. but obviously you know this already unless youve been spending your life playing on xbox and playstation. right?",40.1
"yes, long live counter strike 1.6 - the best game ever.",1.1
"awesome game truly an nyc game with tactics, guns, different maps, etc",910.2
"a beacon of online gaming, that despite being a dated title, so many players come back to it because of the well defined game mechanic. theres no great depth of content, just a simple yet enjoyable platform for team deathmatch with map objectives thrown in. years ago i spent atleast 1,000 enjoyable hours playing it.",46.9
"hello.... here i m scorpion .... i m owner of gs......",692.3
"this is the one of the best game ever i am playing from 2000.",53.1
"better than source or even global offensive. traditional old game that comes from another awesome game, half-life. you can not end your gamers life without playing cs.",461.7
"counter-strike is a first-person shooter in which players join either the terrorist team, the counter-terrorist team, or become spectators. each team attempts to complete their mission objective and/or eliminate the opposing team. each round starts with the two teams spawning simultaneously.",162.4
"i spent 1200 hours on testing plugins i made. 10/10",1769.2
"after all these years this shooter remains to be a classic that cant be ignored. this game was a major turning point in the history of fps, and this game is what made online multiplayer competitive gaming so popular.",546.2
"well if you think  game, graphics,iy weapons,you are a very crazy person.this game yes its an  game but its fun so no give any crap.dont buy it on 9.99 dolars buy it on when sales like 2.49 and 4.99 dolars.great game for relax.recommending!",16.6
"well i played my first game got in a lobby full of cheaters every single server a cheater. other then cheaters its a fine- !! game",20.9
"although im keeping this a thumbs up. i never liked 1.6. cool to see how the game evloved.. but i never liked the 1.6 update from 1.5.",145.8
"the best shooting game you will play in your entire life.",1660.6
"back to old fps game? yeah this is the best! counter strike is the best online fps game i think..",0.4
"this came out 14 years ago, and it still has better graphics than your average call of duty game.",54.9
"i havent played it that much but i can say that its a really good game!",2315.7
"somehow i still find myself coming back to this game...damnit.",2012.1
"an old cs 1.6 game that almost every gamer played.",1442.8
"i love cs 1.6 .. it is best game ever .................................... easy to play ..",1132.9
"top old times game. so... what are you waiting for? just buy it damm",1.9
"one of the best time wasting games! all about ping, fps, and exp.. especially here: classic: 95.172.92.152:27015 auto-mix: 95.172.92.152:27016 do we even have time for this s***?",1299.2
"best game ever !!!! cs 1.6 > all other cs`s !!!!!!!!!!!!!",433.7
"fun, classic, well executed even though its old! definite recommend!",38.6
"if you didnt play this but play cs:go, you probably like to pretend you did.",22.8
"umm i guess this game is good? what to expect is trolls tryhards and bads and umm..nope that sums up all the people who play this 11 + year old game.",2609.9
"what is there left to say when a game which is over a decade old is in top 10 of steams most played games list? timeless masterpiece. graphics are temporary, gameplay is forever (c)",24.7
