% Generated on Thursday, 07. May 2015 12:06AM
% This ARFF file was generated with review data from the following game(s): ['Counter Strike']
% It is useful only for trying out machine learning algorithms on the bag-of-words representation of the reviews.
@relation reviewer_experience
@attribute string_attribute string
@attribute numeric_attribute numeric

@data
"timeless classic! counter-strike(1.6)is one of the greatest esport fps games(if not the greatest) in the gaming history and is still worth buying today. graphics doesnt matter for a good gamer, gameplay does...",430.4
"de_dust is still a blast after all these years. the game runs well even on laptops!",2.7
"omg this cases skol shotings b& it plz nvm it cool game play it dont shot ppl in the irl tho guns r bad mkay",1.6
"gotta play. may seem old, but classic. highly recommend.",9.2
"the simple fact that this 10+ years old game still shows up in the top played games on steam clearly says something about its quality. i feel like i shouldnt even recommend it, as its name speaks for itself. easy to pick up, difficult to master, counter-strike is one, if not the best multiplayer fps out there, and itll probably remain that way for many years to come. the fact that this game rivals it sequels in number of players worldwide only shows how great this game is. so, do yourself a favour and get it.",11.4
"absolute classic, for only ten bucks why the hell not!",14.3
"this game will always be my favorite counter-strike and its a game from my younger years that i enjoyed. not alot of people play it anymore but its still good. id just get a bunch of friends to buy it and have a 5v5 lan. c: :3 <3",97.9
"cant play game counter strike plzzz help fatal error :(",954.4
"one of my first fps game shame that now is somewhat filled with mod and hackers this game is still fun and double sin mind i spent with that crap out of call of duty on this game people spent years of their lives becoming stronger but even if you dont and the height of certain people youre still awesome",5.9
"absolutely, this is the classic shooter game everyone should try it .",109.2
"this game is unlike the other counter strike games. this game requires a different type of skill. you have to become used to the recoil each weapon has. you also have to become familiar with the different advantage points of each map. i personally think this is the best counter-strike game.",65.7
"recommended 10/10. everything , i really mean everything in this game is great. (except for the graphics , but if im not wrong this game is from 1999 ,sooooo... yeah , just buy it)",79.3
"counter-strike is defiantly dated, so i recommend getting the newer ones, but you are not going wrong with this one if you decide to pick it up. 7/10",0.1
"the original and possibily still the best (minus the riot shields). if you love nostalgia as much as i do, and you dont own this game but used to play it at lan cafes maybe? get it already!",1.2
"counter-strike is the best first-person online shooting game. because it depends only in your own skills. there are no advantages like in call of duty series, you will need to aim correctly, know the recoil of your gun and shoot your enemies to death.",556.7
"<3 best games ever seen <3 cs is love , cs is life #cs4ever :d",147.3
"oldest shooter game. were in 2014 and this game is very played.",1678.8
"it reminds me on my good old childhood - still love it! :)",27.1
"theres a reason why over 15,000 people still play it after 15 years.",9.1
"i have deleted the game after theat i installed it and then it become dont work",835.9
"one of the best, if not the best oldschool games out there!",512.1
"must buy, if u havent played cs, den u have played nothing (y)",965.8
"its not the hours of games that the player ! : p my first fps of 2004..... i gets it wrong with this new account! best game !! 10/10",94.5
"probably the greatest team fps that there ever was, was way ahead of its time in all departments. still to this day has full servers full of dedicated players 24-7. to think that it was originally just a half life mod shows that you dont need to spend a fortune to make a great game",518.5
"cs 1.6, gameplay is good, good fps shooter game, enjoy it. buy it",118.1
"one of the first games i played, brings back so much memories. and its ing fun.",14.3
"no bots if you suck at online or have crappy wifi connection tho",59.8
"after reinstalling steam all servers are lost!!!!! sometimes cant find servers...",299.3
"was disappointed with the low graphics technology. i made the mistake of purchasing the whole cs game pack. only decent cs game is cs go",0.1
"this old beauty i still play today. history is in your hands. thank you for this amazing compettitive fps valve <3 gabe bless you all!",6.6
"classic superb multyplayer game, but till steam the hot air is out. is it the servers? the players? the stupid fan-mods? i dont know....",7.1
"i dont currently have much hours on the game but from a beginers standpoint its a really solid game. just has a pretty steep learning curve and i still die more than i kill but when you do kill someone its pretty cool that guy has to wait like 3 minutes before he can play again. 8/10",4.0
"in the beginning, there was counter-strike. classic tactical team-based shooter.",19.0
"what a nice game,real oldschool,beats newest games,these kills and stuff gets people crazy.clan wars is just wonderful in here,but the game has few bugs,with which i am ok with.",126.0
"ive been playing this game for 10 years, and its still my favorite. 10/10 stars!",20.1
"classic superb multyplayer game, but till steam the hot air is out. is it the servers? the players? the stupid fan-mods? i dont know....",7.1
"in my opinion 1.6 has less hacker than counter-strike:global offensive. then again 1.6 is made up of a few servers with small coumminty base and more than likely has an admin in game. best physics in any counter-strike game. probably not top notch graphics.. just get your friends and have a piss",126.0
"did anyone not play this game at some point or another. as elusive to me as football and stock car racing in its ability to transfix the lives and minds of some shall we say, unenlightened gamers out there.",5.4
"this is the best game ever like ever come on this darn planet!",1245.5
"i got flashed four hours ago and i still cant see anything. 10/10",487.9
"a classic in the genre. still a lot of players playing it. not the best looking multiplayer fps out there, but very fun to play.",21.0
"mother off all first person shooters. you have to buy this game to show respect to valve and shooters. it`s order!!!!!",354.9
"even though it has the worst graphics, its still very strategic and fun!",38.0
"one of the best shooters ever made. no levels, no accessories for your guns, no cheat guns... just you and your skill. lots of hours spent in this game and so much fun i have had with it. 8.5/10 ----------------------------------------------------------------------------------------------------- uno de los mejores shooters de la historia. no hay niveles, ni accesorios, ni armas chetadas... solo t y tu habilidad. muchas horas jugadas en este juego y me he divertido mucho con l. 8.5/10",284.3
"you just must play this game if youre fan of fps games.",1884.1
"you kill someone they die. you get killed you die. heart breaking story",1479.8
"this came out 14 years ago, and it still has better graphics than your average call of duty game.",54.9
"write a review for counter-strike please describe what you liked or disliked about this game and whether you recommend it to others. please remember to be polite and follow the rules and guidelines.",0.1
"i love this oldsql game - my brother plays i more then myself, but it wouldnt be boring :p:p",819.7
"a game that was released when i was a couple of months old, i dont play it that offend that means i will give it a big -, buy counterstirke global offensive.",0.7
"one of the best fps in the early 2000s. this game just brings back nostalgia and memories. a must have game for all players.",247.4
"the original where so many people destroyed their computers over this game from being sniped. ahh.",0.7
"after not playing this game for almost a decade, honestly can say it is just as fun!",3.8
"hell yeaah :) i love this game :) you all should get this :p it is one of mah favourite games in da whole wide world :3",486.3
"best fps game youll find. its a must buy. you learn new skills, step up your game, meet new friends and have fun.",1255.8
"awesome game ! really addicting ! a classic game that should never be put down !",842.2
"im gonna let you finish but. cs 1.6 is still the #1 played fps of all time!!",9.7
"~|^kn!ghtm@re^|~ auto-mix server 103.2.238.234:27015 all the cs fans are welcomed..!",790.5
"a classic in fps! great game i spent hours in! but since cs:go i recommend everyone to step into the next generation",15.3
"looking for online gaming.. this is the best solution.. :) .... i have csgo still prefer to play this..",714.7
"when it boils down to competitive long lasting first person shooters, counterstrike 1.6 is king. the unique money system on a two team map design is what puts counterstrike apart from other run and gun fpss. many custom maps and mods are available, while still boasting a steady player base even 15 years after release.",1359.5
"endless fun i could end up with over 1000000 hours on this game xd. everyone sucks at first because with this game its all about practice and trying things out, seeing what weapons you are good with etc etc. anyone can be good at this game its all about how much time you put into it as long as you have some very basic fps know-how you could master it for sure.",24.5
"basically the best competitive fps of all time if you dont already have 10,000 hours invested then its probably not worth playing",0.0
"still one of the best games ive played on the computer",4.0
"cs was the very first fps game i was introduced to (over 10 years ago omg), and ive been in love with it ever since. makes me a lil giddy sometimes, and compared to the graphics and simulation of todays shooters the quality is pretty  (im prepared for some flak), but really, its like that bottle of wine that has aged and mellowed on the beloved alcohol shelf *hic*...nothing can beat the classics. a bottle of the finest chardonnay for this veritable *hic* shooter! and another just for me. *collapses in drunken stupor*",8.4
"this game was my childhood this was litteraly the best fps ever. you should get it on sale its wourth it.",5.5
"best game in series till date. none can beat this. 15 years. still more players than cs:go. friendly community. fun mods. no fancy and unnecessary graphics.",1826.1
"+this game still have appeal - runs slightly higher cpu then tf2 does (edit: v-sync on can reduce load by half)",41.9
"best game ever..... so many fun times, great fps, worth way more than it costs! its just great!",507.0
"the classic which is counter-strike. a game that has been a platform for many competitive fps games. also a platform to e-sports becoming prevalent in popular culture. buy this game and reminisce of what cs once was. it is perfect and it works every time.",2.7
"hello there i need help. i got a cs complete gift which i used on my account which was already having a cs 1.6 copy but after i used my gift (in my library) my 1 cs 1.6 copy is gone kindly help",780.2
"counter strike changed the landscape of multiplayer first person shooter. ruthless gameplay, perfect balance contributed towards the creation of a very competitive scene. years later it still stands as one the giants among games. loved and still played by thousands, it has shaped lives and destinies.",32.0
"it is one of the best fps games ever made. graphics does not matter, it is all about the gameplay :)",25.0
"steam, wtf... cd update screw my fps ... really? why? al least an answer...",935.0
"hii , why do not i see the publication of the counter i play .. and i see the table several killed up no picture .. why ? ndirr this game .. and someone could help me please?",1164.5
"this game is the best shooter game and the game that i liked the most! but there is nothing for non steam players that hack in the servers!",351.9
"grew up with cs. highly recommended as a parental figure replacement.",172.7
"cool game. i like it because of bhop, knife, and zombie mod on modded servers",377.0
"im a player fps games i cant find anouther game fps like counter-strike 1.6 or globale offansive i think this is my best game i play it in my life i wish can find anouther game bcz the cheaters are stuped when he use that  stop using cheat plz and thank you",223.8
"ing terrible. waste of 10 bucks. csgo is much better",0.9
"its funny games now this game is not serious games like in 2006 since now cs:go more better than other cs but, this game is have one special for me",19.0
"its cs1.6 and your on steam, if you dont have this then please follow these steps: 1. uninstall steam. 2. kill yourself.",78.9
"have been playing since 6.5 and there are still 12 year olds flaming me in voicechat 10/10 for tryhard authenticity",51.7
"best game ever. the joy it gives when playing with friends is unbelievable .",472.7
"a beacon of online gaming, that despite being a dated title, so many players come back to it because of the well defined game mechanic. theres no great depth of content, just a simple yet enjoyable platform for team deathmatch with map objectives thrown in. years ago i spent atleast 1,000 enjoyable hours playing it.",46.9
"although i dont have nearly as many hours on this as go, its my favorite cs (besides 1.5 and below). the game is more tap-based. i feel like its more strategic than go. i wish the pro scene had not died out for this game.",9.7
"classic. i and much of the community moved on to source or cs:go, but this game will always be fun. back when this game wasnt on steam, a couple of friends and i played this on lans. i still revisit this game from time to time, half of it for the fun, and half of it for the nostalgia. there is still a very active multiplayer community so youll definitely get your moneys worth. get some mods, make some friends, have a blast!",141.9
"it seems i am now a legend after playing this game...",119.3
"counter-strike is a good game for the most part, adding characters and stuff to the half life franchise and universe... there are several canon discrepencies, but they can be ignored for the gameplay and overall storyline (and even how that fits into the orignal half life game :d) overall its worth paying for and playing...",85.1
"you should play this because i made a lot of maps for it. if you would like a copy i will buy it for you.",1.3
"this game teaches people why graphics dont matter.",808.1
"one of the best fps multi-player games out there, a must buy",10.2
"get this game if you love repeatedly hearing sounds of fire in the hole!, not respawning after you die and having to deal with players hundreds of times better than you when you first begin playing. if you enjoy a game of frustration with a terrible community who will look down on you for not having reflexes like a cyborg, this is the right game for you. also, if you dont already have this game, you are a . please either buy it or leave steam immediately.",1325.1
"the steam is not working and ate my nerve with kumping out of the server no reason after you just entered the game, when you tried to buy something from menu b it just changes map automatically and kepps going until you stuck in some little map with few poeple. change this problem faster or refund me or pay my loss !!!",5.1
"its the original cs. what could be wrong with it?",3.3
"this is a classic, would recommend. its okay 10/10",15.8
"if i could find out how to play this game it would be awesome i click on cs and then i see a black screen and then steam main menu is there ?",127.2
"pew pew hip fire headshot best competitive fps ever made bar none 11/10",11.9
"a great fps game that doesnt need much requirements .",109.8
"if youre on steam and you havent played, or own this game, just kill yourself.",346.8
"the point of counter-strike is... to be the best. this is not a game, this is the game!",105.0
"almost 15 years old, 11th most played steam game in 2015. should already tell something.",0.8
"the best fps gameplay you can play, playing it since 2008",30.3
"best fps game on steam the game is old but still classic 999/100",2178.6
"i put probably 5,000+ hours into this game between the ages of 12 and 14.",121.9
"counter-strike...a game which is a true fps and is one of my favourite shooters",26.2
"i recommend this game because is the besssssst game evaaaaa|",277.4
"counter-strike is a first-person shooter in which players join either the terrorist team, the counter-terrorist team, or become spectators. each team attempts to complete their mission objective and/or eliminate the opposing team. each round starts with the two teams spawning simultaneously.",162.4
"excellent game one never gets bored of it addicted xd b|",61.2
"i just cant stop playing that game it controls my mind",9.3
"my very first fps, been playing for 8 yrs now and i still love this game! imo this is one of the best games ever. various mods make this game really addictive, so you just cant get bored.",1.2
"best classical first-person shooter game of all time.",433.4
"original game will always be number 1 !! before cod and after cod ! 100/100",2.5
"this is one of the best acion games i have ever seen til date and is famous than any other game . you ll be a good gamer if get this one.",825.1
"how to be cs:go pro 1. buy c-s 2. launch it up and leave it on for 2 weeks straight 3. get over 100 hours of c-s and then brag about it on your next cs:go comp game how you played with the best pros back in the day 10/10 still best game and s better than cs:go",228.3
"if your on steam, and over 18, get this game. it is where online fps games really started.",36.4
"awesome old schoooool game :) i hop on to this when im sick on cs:go",354.6
"cradle of all fps multiplayer games for sure!!! played approximately 8 years, spent over 10 000 hours (non steam) during my lifetime, & worth every single minute of playgame !!!! shame, nowadays there arent many good players, so kinda makes it boring !",205.8
"good game. figure out the camera for me. looking around doesnt work.",0.2
"one of the best time wasting games! all about ping, fps, and exp.. especially here: classic: 95.172.92.152:27015 auto-mix: 95.172.92.152:27016 do we even have time for this s***?",1299.2
"ive been playing this game for almost 9 years and i recommend this game to everyone. there is alot of differnt things you can do on this game. you can surf,climb,hide,dance or you can play regular for fun or even try to get extremely good at the game and their is tournaments you can join for huge prizes",805.3
"i bought this in a sale but i shouldnt have bothered. the only gameplay is multiplayer and all the servers are prettymuch empty. also when i got into a server it was all glitchy. dont bother buying this game",0.1
"this is a fun game if you are an older cs player. im stuck in csgo though!",222.5
"this game is probably the best game ever. even it is old, it is still the best shooter game.",1396.7
"my first game ever purchased, it will be in my life forever :)))))",438.1
"that moment of pure passion when your enemys lifeless body slumps to the ground, and to the top-right of the screen you see your name and feel your score increase. you might have played this game for 50 hours, or you might have played it for 5,000; but it doesnt matter how experienced you are, because its all about that moment.",120.7
"better than cs:s but the community is much more spread out through servers so its rare to see a full server. in cs:s theres a lot of dead servers but also a lot of full servers. pretty kick  game.",985.3
"if your reading this, that means you have a steam account. which means theres no reason you shouldnt have this game in your library already. btw dont waste your time with cs zero",6.7
"this game i got from my brother its fun to play and it has plenty of lag free servers.i recommend it!",100.2
"gurl i just got ma nailz done n dis  be like dayum gurl dem nailz holy  dem nailz *hyperventilating intensifies*",0.3
"spent so many hours on this game during high school! now that go is out, im playig counter strike more.",3.7
"awesome! this is a game that i had played just for the sake of play with friends but now i makes friends while playing . the game is solid , enjoyable , and yes.. a must have :d",297.1
"best call of duty community simulator with old outdated graphics so far.",3.2
"the most important fps in competitive gaming history. respect.",3.5
"very good game still, this game is still fantastic, undead <3",1963.4
"i have to say not the best graphics, but the game is quite fun. also dont tell me the game is old of course its bad graphics, just my opion.",1.1
"the classic counter-strike! very fun and a nice game, i enjoy playing this and it is a great fps with friends!!",2.9
"its ing counter-strike. what are you reading this for? buy it already.",0.7
"this game has been around for a long time it has never gotten old for me if your looking for a game you can just keep playing and keep from getting bored this game is for you ^_^",67.1
"i have played this game for 10 years straight, from the top to bottom. 10/10",19.0
"ive played this game since i was around 6 years old back in 2002 and it still makes me laugh and have fun whenever i launch it to this very day. over 12 years of endless entertainment. no other game on this planet has given me more entertainment and enjoyment than counter-strike 1.6 has and i doubt no game ever will. reason ive only got 38 hours here is because i no longer use the account i originally played cs 1.6 on. func_vehicle is what makes this counter strike game the best out of all the others in the franchise.",1287.3
"an old cs 1.6 game that almost every gamer played.",1442.8
"this is the worst star wars game i have ever played. theres no force powers, lightsabers, clones, droids, nothing. its like they took out every element that would be in a star wars games. this would only be the best game if they later renamed it to counter strike or something along those lines.",93.8
"memories... you cant call yourself a gamer if you didnt play this game.",741.5
"best game ever and this game proves graphics doesnt matter!<3",301.7
"oh yes this is the best game to play with friends!!",253.6
"one of the best game in my chil hood till now ! :) #ilovethisgame ! :)",411.9
"played this for like 7 years before steam was even created. great game.",190.9
"a classic that everyone needs to have played at least once.",12.6
"the years have mold this game very nicely for the past 14 years this game has gone down as the fps that started the series off with bang this game has everything from tatical game play to zombie infection modes. the game is made for all the fps junkies out there its 14 yrs old but still puts smiles on all the gamers faces as they play this forever great series of games from the gaben overlord all hail the valve group for giving us this amazing game!!!!!!!!!!!!!!!!!!!!",36.9
"went on a server and i was overwhelmed by brazilian piraters. makes me think why i bought it. 10/10 move to brazil to pirate the game.",11.1
"pain in the  for new players like me but still hell of alot of fun ::d::d:d",13.2
"i cant imagine my day without playing atleast for an hour !! :p",209.9
"best first person game ever....^_^ do u love first person game..dont have graphic card....this is the game meant for u.......^_^",333.9
"old game but still the best and favourite fps shooting games to all the gamers :)",1376.3
"it used to be a superb game. now its just too old to stand, simple as that. when i was young i had tons of fun with it though. 8/10",0.2
"hit game,valve should delete it to get more source and go players....!!!!!!!!!",24.9
"1 of my favorite games and the first game i bought on steam.its worth buy u will never get bored of playing on the servers.",191.8
"a game that helps you to develop a good teamplay spirit",1250.3
"counter strike could not load in the libary pls help.",657.0
"you are a pro gamer? want to play against other pro players? this is for you!!!!!!!!!!!!! this game deserve a golden medal!!!!!!!!!!!!!!!!!!!!! masterpiece!!!!!!!!!!!!!!!!!!!!!! 10 out of 10 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",68.9
"the biggest game changer of all time in the online fps genre. respect it.",1.1
"counter strike one of the best multiplayer first person shooters out there even though it came out 14 years ago it still has outstanding graphics a good level design and alright player models i would recomend this game to anyone with a spirit to play oldschool shooters",3.9
"a game in which you can always come back too. with cs go and source also being great games, counter-strike 1.6 is always a classic in my book",1777.3
"[10/10] the most popular online first-person shooter, in counter strike is played by millions of people in spite of its horrendous graphics and bad physics ...",436.3
"a very fast-paced shooter with great gameolay at the time when it came out, today occupied by a small pack of hardcore counter strikers that will not forgive a single move of the mouse that is slower than theirs.",0.5
"a classic that everyone needs to have played at least once.",12.6
"this is the one of the best game ever i am playing from 2000.",53.1
"a must-have. this is the granddaddy of online shooters. get it.",63.2
"my cs is not working properly as it shows a black screen on opening",71.9
"17-04-14 new update. game doesnt even open. error: fatal error- cannot load library. please fix. unbale to open cs 1.6",279.1
"waltz out of spawn in full kevlar and a helmet. sniopeh. shoot at sniopeh, get snioped. derp",2.4
"better than the latest and greatest cod. would play any day.",2.7
"so many girlfriends lost cause of this (back in the good old days...) + everything on this game is abso-f*cking-lutely great - well maybe a bunch of players behave like 8-years old spoiled kids sometimes...but killing them (in game, dont get me wrong) is the purest satisfaction",938.8
"this game may seem stupid to some people, becasue of the graphis. this game is exactly like csgo and the only difference is the graphics. otherwise, everything is the same thing (excluding camos).",10.0
"great game, still many people play it and is very good. 8.5/10",15.3
"cs 1.6 and gta sa are the best games in the games history.",4.0
"i remember being a younger kid, i had a brother take me out and walk for about 30 minutes to a gaming cafe where they have this game being played 90% of all computers. playing this for the first time as a kid, i felt it was so realistic lol. it was like being in a new world, basically. we came back to gaming cafe every once a while whenever we can afford it. one time, my dad came home early and we were not home, lol. somehow, he figured out where we were at! good times good times! this is one of few games that made my childhood memories.",0.5
