
% Generated on Wednesday, 15. April 2015 01:53AM
% This ARFF file for The_Elder_Scrolls_V is for use with trying out machine learning algorithms
% on the bag-of-words representation of the reviews only.
@relation reviewer_experience
@attribute review string
@attribute experience numeric

@data
"how can you not reccomend this game. the scope is huge, the quests are plentiful, the gameplay and graphics are still amazing. you will lose many hours of your life with this game happily.",173.3
"if youre going to buy one game on steam. this is it. get mods, and you get an infinite game.",284.9
"robbed house, girl caught me, she ran outside to find guards and everybody attacked her. 10/10 ign",10.9
"stole a plate and became the #1 most wanted man in the world. 10/10",123.8
"if this game was a spoon, it would be a good spoon.",68.9
"this game is: 10% luck 20% skill 15% concentrated power of will 5% pleasure 50% pain and 100% reason to purchase the game.",41.9
"i used to have a life like you. then i took a skyrim to the disk",447.0
"i can shout at cabbages not only irl, but virtually too. 10/10",63.4
"so i was walking around near rorikstead and i went up and said hi to a guard and he said gotta keep my eyes open. damn dragons could swoop down at any time then at that exact moment a legendary dragon flew down and picked him up with his mouth and threw him in the air killing him instantly. 11/10 best game ive ever played",448.5
"who needs grand theft auto when you can steal a horse. 10/10",152.1
"if this game was a potato....it would be a good potato potato/potato would potato again",83.4
"its like skyrim without guns.",184.4
"i used to have friends, then i bought skyrim.",119.6
"removed someones head with a wooden sword. 10/10",738.3
"watched free porn. got a virus. bought skyrim for the nudity mod. didnt get a virus. 11/10, would fap again.",97.3
"one of the best rpg games ive played , just brilliant, this game never ends, a lot of modding, adventures , characters , different areas quests etc. must play!",56.6
"shot a chicken with a bow and arrow and became the man with the highest bounty. 10/10 would shoot again",54.4
"great game. ive been playing it for more than two years and i have enjoyed every minute.",351.5
"-be me jarl of whiterun -naked man walks in -devours 25 cheese rolls infront of me -guard walks up to him -says the arrow to the knee line -naked man stand behind him -disappears -guard is now naked -naked man becomes guard -comes to me and says somthing about dragons - pants -sent him to dangerous dungon -feel relieved -comes back with stone - intensifies -send him to kill dragon -by talos i hope he dies -comes back with dragon bones - you talos -send him to high hrothgar -hopefully thats the last time i see him -1 month later -comes back with stormcloaks to take over -me.jpg",70.3
"i killed a chicken, and the entire town banded together to kill me. 10/10",323.2
"i stole a spoon and i got a bounty on me, best game ever.",207.6
"this is a game.",126.1
"if this game was a chair it would be a good chair",129.8
"okay, where do i start? general: this game is able to shock you and make you laugh time and time again, even when playing it for the 3rd time. it takes about 130 - 200 hours of playtime to finish all of the quests, and i guarantee that in the time you will not discover everything there is to discover. if you do not feel like questing, take some time mining, scaring people with magic and shouts, undressing them, stealing, stealthing, killing dragons or giants, throwing cabbages around or simply reading 1 of about 250 integrated ingame books and stories. graphics: this game has pulled off something i have thought to be impossible and pushed the whole gaming industry to the new levels. it has successfully integrated superb graphics into a lot of content. world is beautiful, vast and full of variety and although a bit dark by default this can very easily be changed by just picking one mod from the workshop. workshop: why does this deserve a special tab? because thanks to workshop, earlier mentioned 200 hours of gameplay easily turn into thousands of hours of gameplay. dont like any part of the game? change it! modify it! add to it! a huge amount of mods are being made every day, and whether they spawn an extra cupcake in your house or add new cities with their own storylines they will all change your experience and prolong the fun. name what you want to do, it exists. all of it. cons: - few possible glitches, but all have their fix, just need to be googled out. - a bit too confusing and overwhelming at the start. a lot of unanswered questions may put you off the game. this happened to me on the first two attempts to play the game. i ended up going to the first town, becoming a woodcutter, killing a chicken and getting chased by the guards. but once you push on, you will be nothing but glad you did. who am i even writing this for? is there any poor soul out there who has not yet played this game? buy it. now. please?",116.7
"i killed a chicken. whole town attacked me. 10/10 would kill again.",61.9
"the province of skyrim might be frigid, but the role-playing game that takes place within it burns with a fire few games possess. yes, skyrim is another enormous fantasy rpg from a developer that specializes in them, and it could suck up hundreds of hours of your time as you inspect each nook and crevasse for the secrets to be found within. the game returns you to the continent of tamriel, where you explore the northern realm called skyrim, home to the nord race. in these northern regions, snow flurries cloud your view, and platforms of ice float on the chilled waters. nighttime often brings tamriels version of the aurora borealis, with its gorgeous blue and green ribbons stretching across the heavens. skyrims predecessor, oblivion, featured prototypical fantasy environments-pretty but not quite evocative of the lores darker undercurrents. skyrim embraces its darker elements. you might feel an eerie chill as you glimpse a half-sunken ship through the mist, or watch as a dragon comes to life before your very eyes under the swirling firmament. closer inspection reveals hard edges, plain painted-on textures, and other visual flaws that are conspicuous should you seek them out. but like many enormous games, skyrim makes a fantastic impression not because its individual elements are sharply honed, but because they contribute to a grander whole. theres so much to do that your quest log becomes an embarrassment of pleasures, offering dozens of choices at any given time, each one as enticing as the next.its impressive enough that theres so much to do; its even more impressive that most of it is wonderful. not every dungeon is a joy to explore. stone-turning puzzles occasionally bring the fun to a halt, and a few repeated cave designs could dampen your spirits. but overall, every task has an excellent sense of context, and surprises lurk around many a turn. skyrim also uses scattered books and references to enthrall you. you may not be a big fan of reading books in role-playing games, but even so, you should make an effort here.the combat in skyrim is the tightest elder scrolls combat yet, the visual and audio cues normally providing proper feedback with your blows and zaps.some death blows result in fallout 3-style slow-motion kills, which retain their power because theyre not overly frequent. movement, too, has seen improvement: you can now play from a third-person view and feel like youre moving across the land instead of floating above it. all in all, skyrim has some minor issues but as a whole is a brilliant rpg.",37.6
"i dont know why people wear horned helmets. they look like angry cows.",16.3
"its like skyrim- ign",139.6
"fornicate with wenches, acquire gold.",150.2
"this might just be crazy enough to potato 10/10- ign",379.5
"i was stacking books on a shelf in my house in whiterun, one of skyrims major cities, when i noticed a weapon rack right beside it. i set a sacrificial dagger in one slot, an orcish mace in the other. they were on display for nobody but me and my computer-controlled housecarl, lydia, who sat at a table patiently waiting for me to ask her to go questing. the chest upstairs was reserved for excess weapons and armor, the bedside table for smithing ingots and ores, the one next to the alchemy table for ingredients. id meticulously organized my owned virtual property not because i had to, but because tending to the minutia of domestic life is a comforting break from dealing with screaming frost trolls, dragons, a civil war, and job assignments that never seem to go as planned. its even a sensible thing to do; a seemingly natural component of every day existence in skyrim, one of the most fully-realized, easily enjoyable, and utterly engrossing role-playing games ever made. part of what makes it so enjoyable has to do with how legacy elder scrolls clutter has been condensed and in some cases eliminated. in skyrim, theres no more moon-hopping between hilltops with a maxed out acrobatics skill. thats gone, so is athletics. the elder scrolls v pares down the amount of skills and cuts out attributes like endurance and intelligence altogether. theres no time wasted on the character creation screen agonizing over which skills to assign as major. you dont assign major and minor skills at all, but instead pick one of ten races, each with a specific bonus. high elves can once a day regenerate magicka quickly, orcs can enter a berserk rage for more effective close-range combat. these abilities are best paired with certain character builds  the high elf regeneration is useful for a magic user  but dont represent a rigid class choice. major decisions dont need to be made until youre already out in the world and can try out magic, sneaking and weapon combat, emphasizing first-hand experience over instruction manual study, letting you specialize only when youre ready. it contributes to the thrilling sense of freedom associated with life in skyrim. do a quest, kill a dragon, snatch torchbugs from the air, munch on butterfly wings or simply wander while listening to one of the best game soundtracks in recent memory. despite the enormity of the world and the colossal amount of content contained within, little feels random and useless. even chewing on a butterfly wing has purpose, as it reveals one of several alchemical parameters later useful in potion making at an alchemy table. mined ore and scraps of metal from dwemer ruins can be smelted into ingots and fashioned into armor sets, pelts lifted from slain wildlife can be turned into leather armor sets, and random books plucked from ancient ruins can trigger hidden quest lines that lead to valuable rewards. skyrims land mass is absolutely stuffed with content and curiosities, making every step you take, even if its through what seems like total wilderness, an exciting one, as something unexpected often lies just over the next ridge. many times the unexpected takes the form of a dragon. sometimes theyre purposefully placed to guard relics, sometimes they swoop over cities and attack at seemingly random times. in the middle of a fight against a camp of bandits a dragon might strike, screaming through the sky and searing foe and friendly alike with frost or flame. momentarily all on the battlefield unite, directing arrows and magic blasts upward to knock down the creature, creating impromptu moments of camaraderie -- a surprising change from what may have been yet another by-the-numbers bandit camp sweep. dragons show up often, their presence announced by an ominous flap of broad wings or an otherworldly scream from high above. the scale and startling detail built into each creatures appearance and animations as it circles, stops to attack, circles again and slams to the ground makes encounters thrilling, though their predictable attack patterns lessen the excitement after a few battles. in the long run theyre far less irritating than the oblivion gate equivalent from the elder scrolls iv, can be completed in a few minutes, and always offer a useful reward. killing a dragon yields a soul, which powers skyrims new shout system. these are magical abilities any character can use, you dont have to specialize in spell casting to slow time, throw your voice, change the weather, call in allies, blast out ice and fire, or knock back enemies with a rolling wave of pure force. even if you favor sword, shield and heavy armor and ignore magic entirely, youll still be able to take full advantage of these abilities provided you find the proper words  each shout has three  hidden on skyrims high snowy peaks and in the depths of forgotten dungeons, serving as another reason to continue exploring long after youve exhausted the main quest story, joined with the thieves guild, fought alongside the dark brotherhood, or thrown your support behind one of the factions vying for control of skyrim. not only is this land under assault by dragons, long thought to be dead, its also ripped in two by civil war. you can choose one side or the other, but so much of the allure of skyrim is how, even outside of the confines of quest lines, the embattled state of the world is evident, and steeped in a rich fictional legacy. lord of the rings this is not, but with the release of every elder scrolls game, the fiction becomes denser, and the cross-referencing for long-time fans all the more rewarding. skyrims residents are all aware of current events. theyll comment on the civil war, some sympathizing with the rebels, others thinking the establishment sold its soul. the peasants complain about the jarls who control each settlement, the jarls complain about the rebels or foreign policy, the overprotective college librarian complains when i drop dragon scales all over his floor; many characters feel like whole, distinct personalities instead of vacuous nothings that hand out quests like a downtown greeter hands out flyers for discount jeans. characters stereotype based on race, they double-cross at even the slightest hint it might be profitable, and they react to your evolving stature within the world. it makes a ridiculous realm, filled with computer-controlled cat people and humanoid reptiles, demon gods and dragons, feel authentic, like a world that existed long before you showed up and will continue to exist long after you leave. the game has one of the largest active modding communities of any game. this helps to spice up gameplay and graphics. with new residents, new weapons and armor, incredible house mods adding giant castles, and visual mods. you can spend hours upon hours finding mods that suit your needs in the nordic lands of skyrim. it is worth to note that you should know the game to an extent before modding, as it can corrupt save files if not done properly. if id have to rate it, it would be a 10/10.",313.3
"i was like *slash slash slash* and the guy was like *ahhhhh* and i was like *hahaha* and then..then...then i won the game. :d",183.9
"addictive and org4smic. best combination",36.1
"best rpg ever, hands down.",102.5
"getting really high and flying a dragon through the skies; getting smashed and kicking everyones ; lighting some dream crystal, and uhh.. collecting crystals.. snorting a line and committing various crimes; whatever state of mind you go in, youll certainly be entertained. but, the additives definitely ensure the games not lame so far i have collected thousands of minerals and countless bottles of skooma.. in hopes that my breton dealer can amass a kings fortune then ill build myself a badass mansion where ill have high elf babes everywhere and i can pork their brains out and pass on my half-blood seed.",210.1
"its like oblivion with nords. 9.4/10",48.1
"november 11, 2011 - started playing *time lapse* december 11, 2014 - it should be a nice game they said. its content filled so it should take you about 90 hours to complete! they said... ive completely lost control of my life!!!",1688.3
"i got this game 2 weeks ago help me",441.3
"your one way ticket to being able to kill the children. story 10/10 graphics 10/10 sounds 9/10 ... mods 1000000000000000 outta mother ing 10",71.6
"i fus-ro-dahed a goat off a mountian, then a dragon came and fus-ro-dahed me off the mountian. 11/10! great game and not easy to get bored of. entertaining in every way, and i highly recommend getting the dlcs, aswell. they really complete the game.",12.1
"this is one of the best adventures you can play: long and storyrich main quest with huge amount of sidequests to venture through! with the official dragonborn, dawnguard and heartfire dlcs theres tons of places to see and enormous amount of quests to complete. if you somehow run out of stuff to find then theres the modding possibility. so many mods are out there (steam workshop, skyrim nexus...) to give you more quests, items and whatever. with all the mods its pretty much endless adventure waiting for you as dragonborn. the best ability of course is shouting at everything you see. its pretty funny to make people fly away when you feel upset about someone stealing your sweetroll... some caves and especially dwarven ruins tend to be pretty boring to go to after some time since they are pretty long (dwarven ruins) and linear (just killing tons of same enemies to find something/somebody or to get somewhere) but other than that its a beautiful and rich game in so many ways that there is no reason why you shouldnt give it a try! btw never attack chickens... those s seem to be pretty valuable in skyrim since everyone is willing to kill you if you harm them.",200.3
"puts bucket on shopkeepers head hidden steals everything takes off bucket hello how are you today",149.6
"step 1: buy it step 2: play it step 3: love it step 4: mod it step 5: crash it step 6: fix it step 7: repeat after step 3.",440.9
"fantasy hero simulator 2011 stupid nords insulted my choice to become a mage, calling into question my manliness. i can shoot fire from one hand and lightning from another. i killed a dragon and absorbed its power. my shout is so powerful that people stagger backwards. tell me nords, do you still think that i am unmanly now?! (10/10, would mage again)",81.2
"mod it till it crashes. then complain to your friends that it keeps on crashing.",463.4
"if youre a fan of the elder scrolls series, or just interested in checking it out, i recommend skyrim. while morrowind will always be my favorite tes game, skyrim is probably the most accessible of the series, not too mention my 2nd favorite. though oblivion had a slightly better quest log, skyrim is the superior game overall of the two.",22.7
"a game that is complicated to critique. for the first 30-50 hours, you will be completely absorbed in the beautiful and vast world, with seemingly endless opportunities for exploration and questing. as you continue to play, the cracks start to show. the gameplay systems are incredibly shallow, the characters wooden, the world still beautiful but the dungeons copy/pasted 120 times over with the same enemies, the same meaningless loot. the complication arises when you realize that while you are slowly starting to loathe the game, youve had 30+ hours of fun before hitting that point. so the question is, was it worth it?",67.6
"the elder scrolls v: skyrim + huge arsenal of weapons (melee weapons, spells, staffs) + hundreds of quests (main quests, side quests, miscellaneous quests) + hundreds of enemy types + huge open world to explore + decisions to make (stormcloaks of imperials) - world can be buggy",7.0
"i stripped everyone naked in whiterun except the jarl. used my daedric gloves and fisted everyones arses goty 10/10",29.1
"lets make short and simple: if you are on steam, and you dont own this game, then youre doing it wrong. wrong. the game is immensley vast, atmosphere is so.. cool. the game will just suck you in. it has loads of contents that will keep you busy for 100+ hours for sure. and mods are just icing on the cake; if youre a graphics-hungry person, mods can make this game look better than most next-gen games out there, if modded correctly. and the sceneries, oh the sceneries, i just feel like sitting on my chair and just keep staring at those vast fields of beautiufl grasslands. totally recommend this game. 15/10. but, but, one and only con that i found is of the fighting mechanics; it is just so bland. nothing else i dislike about this game.",258.0
"this is a lol you guess it another revamp telling of my review on skyrim. just to get this right off the bat: without mods, this game will feel lifeless granted the game will still be freaking badass the game however as a whole would be a boring rinse and repeat, no matter what race and character build you go with. with mods installed prepare to stay up until 3:00 am in the morning while playing this game oh and i mean from 7:00 am to 3:00 by the way, you will literally lose hours just by having fun with the fantastic and active modding community for this game. now for everything else, the landscape of skyrim is extremely beautiful, you will get lost in hours and hours of content. more so with the vast dungeons dotting the land. while elder scrolls oblivion had this fantasy artistic style going on with the landscape which is breathtaking within its own right. skyrim has this hostile, cold and harsh environment going on. exatcly how it is described. the quests in this game are extremely well done, more so with quests that dont really start right off the bat until you read a book or hear a rumor, which will keep the player more invested within the game. also with the ai system implemented in this game, your actions changes how the world views your character with every good deed you do to every bad deed you do. quest mods also make it more fun and more investing. the skills system arent exactly as perfect as elder scrolls oblivion. within that game, whatever class you pick, it will either make the investment into that class fun or not, but either way you will lose hours just getting your characters skills up as you go along within that game. in skyrim, the skills system are dotted out into three sections, mage, warrior, and rogue, whatever skills you pick it will either help combat scenarios easier or not. even more so if you choose to go with a thief build. the mage system in this game is pretty badass but not as more through like in oblivon. but with mods installed it will make these three aspects much more fun to play and make the skill system much more tedious rather than a clean sweep. the combat system in this game is clunky, its your typical elder scrolls game. if an enemy lungs at you, you block, if you want to gain the advantage against a large stack of bandits or whatever, use a bow. if you want a clean sweep use magic. here is where modding comes into play once again. thanks to these overhaul mods the combat system feels more alive and more challenging, with every minute maybe your last. the npcs in this game while that voice reptition is there, the npcs of this vast world stand out more than the oblivion counterparts, each one has a selective schedule and job they also have their own situation to make these characters either more interesting or more annoying depending upon your point of view. the muscical score makes you want to just to sit back and listen to it. while some people will say its recycled music over and over again there are mods to make the muscial score more diverse and interesting with every combat situation and with every town and city, and dungeon you explore. the dlc are also great in there own right, with dawnguard, its your typical light and darkness story. but here you will not only lose more hours into this game, but you will gain new shouts, equipment and companions, and also player homes. with hearthfire its an add-on, it will just add housecarls and three new houses to the world. if you like that sort of thing. lastly with dragonborn, you will explore a very familiar place with a good storyline, like with dawnguard, new quests, new equipment, and new player homes, and new companions. basically dawnguard and dragonborn you will get new i highly recommend modding this game. in its original state, again it feels lifeless and dull, even if you lose 1000+ hours into skyrim. with mods enabled you will enjoy replaying the game over and over again. i seriously recommend this game.",1480.5
"i killed a hen. whole town attacked me. best game ever.",228.1
"i love it, it gave me 2 years of fun, i played every playstyle, every race, every way, every dlc. i been from a straight up heavy armor warrior with a huge battleaxe that can turn into a werewolf, and could stand still taking every hit from a dragon without losing almost any health. to a master thief who isnt very strong but can sneak through a entire bandit camp without being seen once.. all the way to guy who never killed a soul, worked hard for his money chopping wood. managing to build his own house and have a family. the main story with all the guilds you can join and areas to explore, you wont be bored for a long time. so dont just rush the main story and assume you seen it all. out of the dlcs, the best would be dragonborn. it offers a large new world, enemies, quests, armors and weapons. while the dawnguard only offers a bit and a vampire lord form, and hearthfire just lets you adopt kids and build homes. the worst thing about it, is there will be bugs, which can easily be fixed by console commands. but only use if needed, like after 5 retrys a quest wont finish or continue. 8/10 only because it can get far too easy, and the bugs. you get stronger than all the enemies too quickly. so i say when you learn the game better, go on master or legendary difficulty for a challenge.",729.1
"skyrim is undoubtedly the best purchase i have made in the past year. its worth every $ that its listed at especially when considering the insane amount of content you are given. i have only spent about 100 hours in the game (this is short in comparison to a lot of people on my friends list) but i can assure you that those hours were all packed with immersive content. here are some key features that hooked me into the game.. 1. dungeon complexity - when i say complexity, i mean that the design for the games dungeons vary greatly from simple to complex. you just have to keep exploring and youll eventually run into the intricately designed areas that get you to pause for a moment and think before being able to progress. at times.. i almost felt as if i were playing the latest tomb raider once again. i also found it quite neat that you could use your shouts to bypass/solve a few of the puzzles. 2. playstyle freedom - im sure tht a lot of people take similar routes but the game does offer a great deal of freedom with its perk system. its definitely a step up compared to games like kingdoms of amalur. do you enjoy melee combat? how about magic? how about a balance of both? theres a lot of possibilities. 3. expansive lore - as ive mentioned, the game has a ton of content. playing through everything (especially if you are aiming for complete achievements), gives you perspective on the whole story and it really is interesting when some quests lore ties into another - maybe even forming a bigger picture. skyrim definitely has a lot more charming qualities but these are the features that i really wanted to highlight. they stood out for me and it was for these reasons that i ended up buying the game last year (only to play it now - 2014) during the summer sale. with that said, i paid $30 for the legendary edition. wouldnt you agree that for all this content, it was pretty much a steal? how many games can you list down that provide hundreds, nearly thousands of hours worth of content (especially if you count the mods) for that kind of price. just remember, multiplayer games dont count! 10/10. buy it when it goes on sale during this upcoming summer sale event.",101.8
"one of the bests waifu simulators out there. you can dress them up, pose and take lots of pictures afterwards. its just like a barbie dolls for girls, but made for the adult men that can play it and dont feel bad at all.",680.9
"skyrim is one of my favorite games of all time, this game is pure art, the role play is great if you are a nerd like me, however if you dont plan on role playing and you just want to play an amazing game then you can unlike other titles like fallout this game does not punish you and it is not a very hard game, i played it in master for most of my stay in the land of skyrim. this game is the kind of type game where it is not about the end its all about the journey. i have played a lot of rpgs in my day, and in most the quests have been bland and the main idea was to explore however this game can be both the quests are great, the story is great the map is amazing, yeah there may not be as many random encounters like fallout, however when exploring you will allways find something new, and as we are pc master race we also get the privlage of mods that add alot more to the game which is amazing, i mainly enjoyed some of the modded quests, and horror quests. if you dont have this game by now f*cking buy it jez 10/10",212.8
"its like skyrim with skyrim. 11/10 ign",650.0
"best game i ever play with mods made by users, its so much fun",320.6
"why are u reading my review when u could be playing skyrim?",255.0
"this game truly deserves the title of near perfection, being one of those rare milestones that comes every so often in years of gaming. skyrim itself, is probably the best release from bethesdas elder scrolls series. story wise, this is one of the most developed storyline from the series, giving much enjoyment overall. in all honesty, we can say that the community is one of the most desirable aspect of skyrim, due to their dedication in further releases of modifications - improving much of the overall gameplay (it never hurts to crank up those graphics). it would be a pity to not try skyrim in the course of your lifetime, so its advisable to go ahead and try it!",89.6
"say goodbye to your social life.",99.9
"if you dont have this game, youre a dickless man.",31.8
"this game is 10/10, because if giant troll bash you into right spot of your body, you can actually rocket yourself into space. no other words needed.",648.1
"longest single player game ive done my entire life- the hours just keep on rollin. recommend modding after vanilla =3",103.1
